Pays,Region,Rank,Bonheur,A1,A2,A3,A4,A5,A6,A7,A8,Democratie,Population,Bellicisme,Alphabetisation,PIB,EsperanceDeVie,Liberalisme
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.06682,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,3.31,5260750,2.196,0.811,802,59.8,38.8
Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,5.2,42862960,2.179,0.733,1819,62.3,59.8
Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,6.15,15850570,1.805,0.497,2566,66.7,55.4
Gabon,Sub-Saharan Africa,143,3.896,0.04547,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,3.61,2025140,1.904,0.877,18103,66.0,57.8
Niger,Sub-Saharan Africa,144,3.845,0.03602,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,3.76,21477350,2.320,0.287,986,61.8,55.1
Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,3.59,16005370,2.179,0.763,3737,68.7,57.4
Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,5.41,57310020,1.903,0.729,2786,61.8,57.8
Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,5.22,25570900,1.911,0.707,1506,65.5,61.7
Central African Republic,Sub-Saharan Africa,148,3.678,0.06112,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,1.52,4659080,3.332,0.552,699,52.5,46.7
Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,1.61,14899990,2.429,0.336,1991,53.1,44.5
Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,6.03,1267690,2.064,0.933,1966,59.0,52.2
Ivory Coast,Sub-Saharan Africa,151,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,4.15,26594750,2.133,0.553,3963,53.3,57.7
Burkina Faso,Sub-Saharan Africa,152,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,4.75,19193380,1.994,0.287,1771,59.9,58.9
